2,50,12500,98,2,0
0,13,3250,28,2,0
1,16,4000,35,2,0
2,20,5000,45,2,0
1,24,6000,77,2,0
4,4,1000,4,2,0
2,7,1750,14,2,0
1,12,3000,35,2,0
2,9,2250,22,2,0
5,46,11500,98,2,0
4,23,5750,58,2,0
0,3,750,4,2,0
2,10,2500,28,2,0
1,13,3250,47,2,0
2,6,1500,15,2,0
2,5,1250,11,2,0
2,14,3500,48,2,0
2,15,3750,49,2,0
2,6,1500,15,2,0
2,3,750,4,2,0
2,3,750,4,2,0
4,11,2750,28,2,0
2,6,1500,16,2,0
2,6,1500,16,2,0
9,9,2250,16,2,0
4,14,3500,40,2,0
4,6,1500,14,2,0
4,12,3000,34,2,0
4,5,1250,11,2,0
4,8,2000,21,2,0
1,14,3500,58,2,0
4,10,2500,28,2,0
4,10,2500,28,2,0
4,9,2250,26,2,0
2,16,4000,64,2,0
2,8,2000,28,2,0
2,12,3000,47,2,0
4,6,1500,16,2,0
2,14,3500,57,2,0
4,7,1750,22,2,0
2,13,3250,53,2,0
2,5,1250,16,2,0
2,5,1250,16,2,0
2,5,1250,16,2,0
4,20,5000,69,2,0
4,9,2250,28,2,0
2,9,2250,36,2,0
2,2,500,2,2,0
2,2,500,2,2,0
2,2,500,2,2,0
2,11,2750,46,2,0
2,11,2750,46,2,0
2,6,1500,22,2,0
2,12,3000,52,2,0
4,5,1250,14,2,0
4,19,4750,69,2,0
4,8,2000,26,2,0
2,7,1750,28,2,0
2,16,4000,81,2,0
3,6,1500,21,2,0
2,7,1750,29,2,0
2,8,2000,35,2,0
2,10,2500,49,2,0
4,5,1250,16,2,0
2,3,750,9,2,0
3,16,4000,74,2,0
2,4,1000,14,2,0
0,2,500,4,2,0
4,7,1750,25,2,0
1,9,2250,51,2,0
2,4,1000,16,2,0
2,4,1000,16,2,0
4,17,4250,71,2,0
2,2,500,4,2,0
2,2,500,4,2,0
2,2,500,4,2,0
2,4,1000,16,2,0
2,2,500,4,2,0
2,2,500,4,2,0
2,2,500,4,2,0
4,6,1500,23,2,0
2,4,1000,16,2,0
2,4,1000,16,2,0
2,4,1000,16,2,0
2,6,1500,28,2,0
2,6,1500,28,2,0
4,2,500,4,2,0
4,2,500,4,2,0
4,2,500,4,2,0
2,7,1750,35,2,0
4,2,500,4,2,0
4,2,500,4,2,0
4,2,500,4,2,0
4,2,500,4,2,0
12,11,2750,23,2,0
4,7,1750,28,2,0
3,17,4250,86,2,0
4,9,2250,38,2,0
4,4,1000,14,2,0
5,7,1750,26,2,0
4,8,2000,34,2,0
2,13,3250,76,2,0
4,9,2250,40,2,0
2,5,1250,26,2,0
2,5,1250,26,2,0
6,17,4250,70,2,0
0,8,2000,59,2,0
3,5,1250,26,2,0
2,3,750,14,2,0
2,10,2500,64,2,0
4,5,1250,23,2,0
4,9,2250,46,2,0
4,5,1250,23,2,0
4,8,2000,40,2,0
2,12,3000,82,2,0
11,24,6000,64,2,0
2,7,1750,46,2,0
4,11,2750,61,2,0
1,7,1750,57,2,0
2,11,2750,79,2,0
2,3,750,16,2,0
4,5,1250,26,2,0
2,6,1500,41,2,0
2,5,1250,33,2,0
2,4,1000,26,2,0
2,5,1250,34,2,0
4,8,2000,46,2,0
2,4,1000,26,2,0
4,8,2000,48,2,0
2,2,500,10,2,0
4,5,1250,28,2,0
2,12,3000,95,2,0
2,2,500,10,2,0
4,6,1500,35,2,0
2,11,2750,88,2,0
2,3,750,19,2,0
2,5,1250,37,2,0
2,12,3000,98,2,0
9,5,1250,19,2,0
2,2,500,11,2,0
2,9,2250,74,2,0
5,14,3500,86,2,0
4,3,750,16,2,0
4,3,750,16,2,0
4,2,500,9,2,0
4,3,750,16,2,0
6,3,750,14,2,0
2,2,500,11,2,0
2,2,500,11,2,0
2,2,500,11,2,0
2,7,1750,58,2,0
4,6,1500,39,2,0
4,11,2750,78,2,0
2,1,250,2,2,0
2,1,250,2,2,0
2,1,250,2,2,0
2,1,250,2,2,0
2,1,250,2,2,0
2,1,250,2,2,0
2,1,250,2,2,0
2,1,250,2,2,0
2,1,250,2,2,0
2,1,250,2,2,0
2,1,250,2,2,0
2,1,250,2,2,0
2,1,250,2,2,0
2,1,250,2,2,0
2,1,250,2,2,0
2,1,250,2,2,0
2,1,250,2,2,0
2,1,250,2,2,0
2,1,250,2,2,0
2,1,250,2,2,0
2,1,250,2,2,0
2,1,250,2,2,0
11,10,2500,35,2,0
11,4,1000,16,2,0
4,5,1250,33,2,0
4,6,1500,41,2,0
2,3,750,22,2,0
4,4,1000,26,2,0
10,4,1000,16,2,0
2,4,1000,35,2,0
4,12,3000,88,2,0
13,8,2000,26,2,0
11,9,2250,33,2,0
4,5,1250,34,2,0
4,4,1000,26,2,0
8,15,3750,77,2,0
4,5,1250,35,2,0
4,7,1750,52,2,0
4,7,1750,52,2,0
2,4,1000,35,2,0
11,11,2750,42,2,0
2,2,500,14,2,0
2,5,1250,47,2,0
9,8,2000,38,2,0
4,6,1500,47,2,0
11,7,1750,29,2,0
9,9,2250,45,2,0
4,6,1500,52,2,0
4,7,1750,58,2,0
6,2,500,11,2,0
4,7,1750,58,2,0
11,9,2250,38,2,0
11,6,1500,26,2,0
2,2,500,16,2,0
2,7,1750,76,2,0
